news_source,rating,rating_num,type,agree,disagree,perc_agree,url,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name
AARP,center,3,Think Tank / Policy Group,1404,2343,0.37469975980784626,https://www.allsides.com/news-source/aarp-media-bias,0,0,0,0,NA,https://twitter.com/AARP,https://en.wikipedia.org/wiki/AARP,NA,AARP
ABC News,left-center,2,News Media,13793,9409,0.5944746142573916,https://www.allsides.com/news-source/abc-news-media-bias,0,1,1,1,High,https://twitter.com/ABC,https://en.wikipedia.org/wiki/ABC_News,https://www.facebook.com/ABCNews/,ABC
Abridge News,allsides,NA,News Media,31,17,0.6458333333333334,https://www.allsides.com/news-source/abridge-news-media-bias,0,0,0,1,High,https://twitter.com/Abridge_News,NA,https://www.facebook.com/AbridgeNews,Abridge_News
Accuracy in Media,right,5,Think Tank / Policy Group,743,444,0.6259477674810446,https://www.allsides.com/news-source/accuracy-media,0,0,0,1,Medium,NA,https://en.wikipedia.org/wiki/Accuracy_in_Media,NA,NA
ACLU,left-center,2,Think Tank / Policy Group,1272,1697,0.42842707982485684,https://www.allsides.com/news-source/american-civil-liberties-union,0,0,0,0,NA,https://twitter.com/@ACLU,https://en.wikipedia.org/wiki/American_Civil_Liberties_Union,https://www.facebook.com/aclu/,ACLU
AJ+,left,1,News Media,13,5,0.7222222222222222,https://www.allsides.com/news-source/aj-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Al Cardenas,right,5,Author,353,238,0.5972927241962775,https://www.allsides.com/news-source/al-cardenas,0,0,0,0,NA,NA,NA,NA,NA
Al Jazeera,left-center,2,News Media,3707,6138,0.376536312849162,https://www.allsides.com/news-source/al-jazeera-america,0,0,1,1,Low or Initial Rating,https://twitter.com/@AJEnglish,https://en.wikipedia.org/wiki/Al_Jazeera,https://www.facebook.com/aljazeera/,AJEnglish
AllSides,allsides,NA,News Media,3301,1308,0.7162074202646995,https://www.allsides.com/news-source/allsides-0,0,0,0,0,High,NA,NA,NA,NA
AllSides Community,allsides,NA,News Media,2142,1273,0.6272327964860908,https://www.allsides.com/news-source/allsides-community,0,0,0,0,High,NA,NA,NA,NA
Allysia Finley (Wall Street Journal),right,5,Author,410,474,0.4638009049773756,https://www.allsides.com/news-source/allysia-finley,checked,0,0,0,NA,NA,NA,NA,NA
AlterNet,left,1,News Media,3357,862,0.7956861815596112,https://www.allsides.com/news-source/alternet-media-bias,0,0,0,1,High,https://twitter.com/AlterNet,https://en.wikipedia.org/wiki/AlterNet,https://www.facebook.com/AlterNetNews,AlterNet
American Conservative Union,right,5,Think Tank / Policy Group,608,336,0.6440677966101694,https://www.allsides.com/news-source/american-conservative-union,0,0,0,0,NA,NA,NA,NA,NA
American Enterprise Institute,right-center,4,Think Tank / Policy Group,1526,788,0.6594641313742438,https://www.allsides.com/news-source/american-enterprise-institute,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
American Greatness,right,5,News Media,44,9,0.8301886792452831,https://www.allsides.com/news-source/american-greatness-media-bias,0,0,0,1,Low or Initial Rating,https://twitter.com/theamgreatness,NA,https://www.facebook.com/theamericangreatness/,theamgreatness
